Accel_x	Accel_y	Accel_z	gyro_x	gyro_y	gyro_z
853.3	326.6	147.3	-9.5	8.6	2.1
788.2	299.3	115.9	-1.8	4.8	5
861.9	242.7	-9	-0.2	12.9	0.2
1906.7	552.7	267.2	-35.3	98	-101.1
781.6	691.4	631.2	-32.2	-17.9	-49.5
982.6	553.1	57.6	-9.8	-26.7	27.6
890.1	404.5	177.6	-15.2	3.3	21.6
776.7	368.2	331.7	8.2	-1.5	2.9
795.7	375.4	246.5	2.1	-6.1	-4.4
815.7	538.2	233	-12.5	-3.8	-4
848.2	673.3	230.3	-25.1	-4.8	18
877.6	671.8	201.2	-25.9	-7.2	45.7
875.4	577.1	160.2	-18.9	-9.5	79.3
894.4	424.5	118.6	-15	-5.5	96.6
916.7	278.6	105.2	-13.6	0.8	95.2
928.7	158.2	130.8	-13.6	8.1	80.3
953.3	85.8	231	-16.8	9.5	56.3
956.1	68.7	303.7	-18.6	-2.5	30.3
926.1	89.1	265	-10.7	-13.8	4.6
919.4	138.1	217	-4.1	-9.2	-13.3
921.9	187.3	231.5	-1.5	-2.1	-25
929.1	226.3	239.5	0.6	-1	-35.5
928.7	272	243.4	2.1	-3	-42.2
919.3	316.7	219.3	4.5	-6.8	-40.9
916.3	350.2	182.1	5.5	-5.4	-36.4
917.3	365.4	172.3	3.9	0.2	-32.2
913.4	376	174.5	0.9	4.3	-26.5
912.8	375.8	183.9	-1.1	7.2	-21.2
909.6	374.6	198.4	-1.8	8.1	-14.8
912.8	358.6	223.7	-2.6	8.3	-9.3
903.6	344.9	250.6	-5.9	1.9	-7.9
904	343.2	224.6	-5.5	-0.5	-9.3
903.3	344.9	249.5	-6.6	-0.6	-10.1
900	344.9	249.8	-8.9	-5.8	-10.3
895.6	352.2	211.3	-5.7	-5.8	-11.8
897	363.2	209.1	-1.9	-1.4	-13.8
898.4	380.2	207.5	0.4	0.7	-13.6
897.3	391.8	216.4	0.7	2.5	-9.8
893.4	392.2	228.8	0	1.2	-6.3
893.3	389.6	229.4	-0.9	0.1	-3.7
893.3	387.2	220	-1.2	-0.9	-1.8
898.1	377.4	226.3	-1.4	0.1	0.1
895.6	369.2	242.9	-3.6	-2.6	1.4
894.4	364.6	214.5	-2.3	-3.4	0.4
897	362.5	220.9	-0.5	-0.6	-0.5
898.6	361.6	223.2	-0.9	-1.1	-1.3
897.9	361.6	219.6	-0.7	-1	-2.1
898.4	361.6	214.3	0	0.1	-3.1
897.7	365.7	219.1	-0.5	0.6	-3.8
897	372.1	220.8	-1.1	0.1	-3.2
895.9	376	220.5	-0.4	0.4	-2.7
894.4	375.7	225.2	-0.5	0.7	-2.1
895	370.2	229	-0.9	0.6	-2
895.7	370.4	225.3	-0.3	-0.4	-1.5
896.1	374.2	217.1	0.9	0.1	-0.7
893.6	370.3	226.3	0.6	0.9	-0.4
895.6	368.5	221.9	0.3	0.9	-0.5
895.3	367	234.3	-0.1	0.6	-1.1
894.5	366.5	224.8	0	-0.4	-1.8
895.3	374.2	224.3	0.4	0.1	-1.2
895.7	370.6	228.3	0	0	0
896.3	370.7	216.4	0.6	0.3	0.6
897.3	366.3	227.4	0.5	0.9	0.8
897.8	363	246.4	-0.7	-2.3	0.4
895.9	366.5	219.6	-0.2	-1.9	-0.5
897.2	361.4	227.1	-0.5	-0.9	-1.2
898	360.7	220.2	-1.3	-1	-2.2
898.8	358.7	219.6	-0.3	0.2	-3.3
897.4	358.8	227.4	-0.7	0.3	-4.3
895.8	364.9	232	-2	-1	-4.9
895.1	370.6	225.7	-1.7	-1.8	-4.8
894.4	375.9	222.5	-1.5	-1.3	-3
895	376.8	221.3	-1.1	-0.6	-2.4
896.1	373.2	222.2	-0.7	0.3	-1.4
895	367.5	234.3	-1.1	0.2	-1.6
896.1	368	227.4	-1.2	-0.7	-1.9
894.7	367.4	226.1	-0.4	0	-2.3
893.7	366.2	230.7	-0.7	0	-2.8
895.5	368.4	231.8	-1	-0.4	-3
894.4	374	231.6	-0.8	-1	-2.3
894.1	371.4	228.7	-0.4	-0.7	-2
894.4	375	226.8	-0.1	-0.4	-1.4
895.3	369.9	230.8	0	-0.5	-1.3
895.1	368	233.1	-0.4	-1.2	-1.4
896.2	371.5	225.2	-0.6	-2	-1.2
895.7	372.8	220.8	-0.4	-0.9	-0.6
894.2	372	225.2	-0.3	-0.6	-0.5
895.3	368.5	225.9	-0.4	-0.6	-0.9
895.6	366.5	230.9	-0.5	-0.6	-0.7
896.4	369.3	227.5	-0.5	-1.3	-0.9
894.4	372.9	227	-0.4	-1	-0.3
895.3	372.1	230.2	-0.7	-1.2	0.3
894.1	370.7	223.3	-0.3	-1.1	1
897.8	369.1	221.6	0	-0.5	1.4
898.1	364.9	226.8	-0.9	-0.7	1.4
897.5	364.8	222.5	-0.9	-0.5	1.6
896.1	362.6	223.1	-0.7	0.1	1.6
898.8	361.3	228	-0.5	0.4	1.4
897.5	359.8	232.2	-0.1	0.1	0.8
895.9	359.6	238.7	0.9	-0.6	0
897	354.9	220.7	3.5	-0.5	-0.7
899.6	355.5	222.2	3.8	1.5	-0.8
900.8	351.5	232.1	1.1	0.2	-1.2
899.6	357	222.7	0.3	0	-2.1
899	362.1	227.1	0.5	0.2	-2
899	367	226.5	-0.8	-0.6	-1.1
897.4	366.2	222.6	-0.8	-0.1	-0.5
896.7	365.3	233.2	-1.1	-0.1	0.6
