UTC_Time,Vin,TC1,TC2,Rh1,Vh1,Ah1,Acp1,Dty1,Err1,Rh2,Vh2,Ah2,Acp2,Dty2,Err2,Accel_x,Accel_y,Accel_z,gyro_x,gyro_y,gyro_z,Temp_c,Accel_x_h,Accel_y_h,Accel_z_h,gyro_x_h,gyro_y_h,gyro_z_h
2026_06_10_15_44_45.412,3.757,28.9,0,0.76,0,0,0,0.045, ,0,0,0,0,0, ,123.1,177.9,987.3,9.1,-9.2,-54.4,25,-17.6806,7.84079,-2.00086,1.30423,-1.63901,-9.89926
2026_06_10_15_44_45.434,3.757,29.1,0,0.76,0,0,0,0.044, ,0,0,0,0,0, ,69.4,72.7,1020.3,30.3,-19.4,-108.4,25,-9.17262,5.73407,-1.13765,2.21384,-2.22139,-13.2161
2026_06_10_15_44_45.452,3.757,29.1,0,0.759,0,0,0,0.043, ,0,0,0,0,0, ,-57.6,159,967.7,-41.8,-19.7,-108.9,25,-5.46779,3.23895,-0.7918,1.81978,-3.02173,-17.6416
2026_06_10_15_44_45.472,3.757,29.1,0,0.76,0,0,0,0.043, ,0,0,0,0,0, ,120.7,127.6,998.1,38.9,-13.3,-76.8,25,-0.659757,2.19647,-1.00339,1.64696,-3.61835,-20.9883
2026_06_10_15_44_45.491,3.757,29.2,0,0.759,0,0,0,0.043, ,0,0,0,0,0, ,121.7,332.6,966.7,2.5,-8.5,-46.9,25,8.31245,5.45124,-1.22417,2.56081,-3.89323,-22.547
2026_06_10_15_44_45.511,3.757,29.1,0,0.759,0,0,0,0.042, ,0,0,0,0,0, ,48.4,211.6,984,-13.9,-3.7,-17.9,25,15.0308,10.5793,-1.77385,2.12248,-3.90004,-22.4739
2026_06_10_15_44_45.532,3.757,29.1,0,0.759,0,0,0,0.043, ,0,0,0,0,0, ,65.1,126.3,1000.1,-32.1,-4.4,-22.5,25,19.9576,10.345,-1.46881,0.846742,-3.78676,-21.6952
2026_06_10_15_44_45.551,3.757,29.3,0,0.761,0,0,0,0.043, ,0,0,0,0,0, ,46.5,151.9,991.2,-38.5,-4.8,-25.5,25,24.4978,8.60722,-0.994935,-0.973837,-3.68734,-21.0342
2026_06_10_15_44_45.571,3.757,29.2,0,0.759,0,0,0,0.042, ,0,0,0,0,0, ,-64.3,277.8,977.1,26.8,-1.9,-14.6,25,25.5216,10.6273,-1.10339,-1.25601,-3.51332,-20.1082
2026_06_10_15_44_45.590,3.757,29.2,0,0.759,0,0,0,0.042, ,0,0,0,0,0, ,-221.5,333.7,961.6,9.2,-0.6,-3.5,25,19.7975,16.9539,-1.92693,-0.348467,-3.22754,-18.5891
2026_06_10_15_44_45.610,3.757,29.4,0,0.759,0,0,0,0.043, ,0,0,0,0,0, ,-132.6,141.4,992.6,17.4,1.6,10.2,25,12.5818,19.542,-2.32051,0.285778,-2.85403,-16.4447
2026_06_10_15_44_45.630,3.757,29.3,0,0.759,0,0,0,0.041, ,0,0,0,0,0, ,-15.9,139.5,995.6,12.2,-0.5,-3.5,25,10.6997,17.1447,-1.8496,0.961074,-2.48233,-14.3244
2026_06_10_15_44_45.650,3.757,29.3,0,0.759,0,0,0,0.042, ,0,0,0,0,0, ,-60.3,123.5,997.8,11.6,2.3,14.4,25,10.63,14.3416,-1.26517,1.45629,-2.09945,-12.1345
2026_06_10_15_44_45.670,3.757,29.3,0,0.759,0,0,0,0.042, ,0,0,0,0,0, ,-41,211.6,982.9,-18.2,6.5,42.6,25,9.89582,13.3732,-1.01458,1.17458,-1.55336,-8.86182
