time_theta_s,theta_gyro_only_deg,time_quat_s,quat_y_unwrap_deg
19.38700008392334,55.76710874494135,19.600001,-356.09046814824563
19.4060001373291,55.03934841780149,19.619999,-356.69319245445394
19.42799997329712,54.140899166109925,19.64,-357.3334686640359
19.44600009918213,53.33294736234532,19.66,-358.0155485091934
19.466000080108643,52.35325164416986,19.680001,-358.74685246220713
19.486000061035156,51.199814852790595,19.699999000000002,-359.5509927636852
19.505000114440918,49.711130332855156,19.72,-360.45354370741865
19.52400016784668,47.987001342112585,19.740000000000002,-361.44926665086535
19.545000076293945,46.373004401727286,19.760001,-362.4981356293635
19.56500005722046,45.33471420353806,19.779999,-363.5617988417995
19.58400011062622,44.64180732712997,19.8,-364.6288149310376
19.603000164031982,43.91023046870621,19.82,-365.70214260428116
19.624000072479248,43.03567504936535,19.840001,-366.78352239854127
19.64400005340576,42.180030471481565,19.859999000000002,-367.8647473112545
19.663000106811523,41.5157480511423,19.88,-368.9236766303854
19.683000087738037,41.0631538243765,19.900000000000002,-369.94245871194573
19.70800018310547,40.59300480482687,19.920001,-370.92620173643934
19.722000122070312,40.24879196167391,19.939999,-371.89383402990916
19.743000030517578,39.4899443078903,19.96,-372.85526628169265
19.76200008392334,38.806840516715056,19.98,-373.814547859206
19.782000064849854,37.96461526499012,20.0,-374.7773759472345
19.802000045776367,37.044315588214396,20.020001,-375.7586196536446
19.82100009918213,35.909105521622855,20.039999,-376.78424843663504
19.84500002861023,34.159855891065604,20.06,-377.8693807852998
19.860000133514404,33.08306814200783,20.080000000000002,-379.0152430490558
19.880000114440918,31.712888816252715,20.100001,-380.21208416379415
19.90000009536743,30.256776029458475,20.119999,-381.4580633796241
19.920000076293945,28.568064403901005,20.14,-382.7671534676603
19.94099998474121,26.51067448963184,20.16,-384.15488152580855
19.960999965667725,24.36529582475768,20.180001,-385.6229189433085
19.986000061035156,21.865207374665786,20.199999000000002,-387.13127688603447
20.0,20.760967820113237,20.22,-388.63060486582185
20.01900005340576,19.482119783289047,20.240000000000002,-390.10346867614675
20.039000034332275,18.132947156317922,20.260001,-391.55860494494914
20.05900001525879,16.689638004566127,20.279999,-393.00057016207694
20.078999996185303,15.446246341649706,20.3,-394.41075121056645
20.098000049591064,14.502189432134509,20.32,-395.7685535508224
20.118000030517578,13.600171918895024,20.340001,-397.0684596239023
20.138000011444092,12.713085141717071,20.359999000000002,-398.3179621229948
20.157999992370605,11.7719946654501,20.38,-399.5317955178322
20.177000045776367,10.772965346321893,20.400000000000002,-400.7282716996957
20.19700002670288,9.511349432110718,20.420001,-401.92215833526404
20.217000007629395,8.125804921449474,20.439999,-403.1177153893864
20.236999988555908,6.8041353563361255,20.46,-404.31375290268187
20.256999969482422,5.621131904194996,20.48,-405.50289869872125
20.276999950408936,4.520783827653203,20.5,-406.6818970645335
20.296000003814697,3.3601146983384402,20.520001,-407.8565140785888
20.31599998474121,2.0543231681509364,20.539999,-409.032536612845
20.335000038146973,0.7968210779081639,20.56,-410.21047250181977
20.355000019073486,-0.4992698331606668,20.580000000000002,-411.38302564959923
20.375,-1.7717158903112369,20.600001,-412.54507757191345
20.39400005340576,-2.9779905795740835,20.619999,-413.6935235949947
20.41700005531311,-4.38594767653536,20.64,-414.82545237966485
20.43400001525879,-5.403823239185793,20.66,-415.94124258179727
20.453999996185303,-6.551135677590462,20.680001,-417.0405226266722
20.473999977111816,-7.6771229789601625,20.699999000000002,-418.1208025433233
20.49399995803833,-8.780263388384464,20.72,-419.1785504969356
20.514000177383423,-9.857890070219165,20.740000000000002,-420.2113986476515
20.532999992370605,-10.848461621617352,20.760001,-421.2203567729377
20.55900001525879,-12.264799923362238,20.779999,-422.2085029434816
20.572999954223633,-13.045496465635111,20.8,-423.17743878493286
20.593000173568726,-14.07438195144865,20.82,-424.1244533533822
